won,my_trophies,opponent_trophies,my_crowns,opponent_crowns,my_deck,opponent_deck,my_average_card_level,opponent_average_card_level
1,6819,6819,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Archers|Golem|Valkyrie|Magic Archer|Royal Recruits|Musketeer|Goblin Giant|Spear Goblins|,8.875,9
1,6789,6789,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Goblin Cage|Lumberjack|Little Prince|Goblin Drill|Tombstone|Freeze|Goblin Barrel|Spirit Empress|,8.875,5.75
0,6820,6806,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Electro Dragon|Skeleton King|Witch|Void|Rascals|Goblin Hut|Goblin Barrel|Mega Knight|,8.875,6.875
0,6850,6850,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,P.E.K.K.A|Boss Bandit|Elite Barbarians|Electro Giant|Inferno Tower|Dark Prince|Executioner|Mega Knight|,8.875,6.75
0,6880,6880,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Goblin Cage|Mini P.E.K.K.A|Magic Archer|Goblin Demolisher|Goblin Curse|Baby Dragon|Goblin Machine|Mega Knight|,8.875,7.125
0,6910,6910,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Firecracker|P.E.K.K.A|Sparky|Elixir Collector|Tornado|Mirror|Freeze|Electro Wizard|,8.875,7.125
1,6877,6917,3,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Wizard|Hog Rider|Witch|Skeleton Barrel|Valkyrie|Bats|Goblin Barrel|Giant|,8.875,9.25
0,6907,6904,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Arrows|Wizard|Skeleton King|Witch|The Log|Elixir Golem|Sparky|Dark Prince|,8.875,6.5
0,6937,6937,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,P.E.K.K.A|Boss Bandit|Elite Barbarians|Dark Prince|Inferno Tower|Electro Giant|Executioner|Mega Knight|,8.875,7
1,6907,6907,3,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Skeleton Army|Mini P.E.K.K.A|Ice Spirit|Heal Spirit|Skeletons|Rage|Wall Breakers|Fire Spirit|,8.875,9
1,6877,6877,1,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Royal Giant|Monk|Hunter|Fireball|The Log|Fisherman|Electro Spirit|Guards|,8.875,7.25
1,6847,6847,3,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Inferno Dragon|Skeleton King|Boss Bandit|Tombstone|Firecracker|Rocket|Elite Barbarians|Mirror|,8.875,7
0,6877,6877,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Golem|Baby Dragon|Lumberjack|Tornado|Lightning|Night Witch|Barbarian Barrel|Mega Minion|,8.875,6
1,6847,6847,3,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Witch|Tombstone|Skeleton King|Mega Knight|Executioner|Barbarians|Mother Witch|Royal Hogs|,8.875,6.875
0,6876,6878,0,Witch|Valkyrie|Mini P.E.K.K.A|Fireball|Giant Snowball|Skeleton Army|Wizard|Baby Dragon|,Valkyrie|Golden Knight|Goblinstein|Mother Witch|Mirror|Poison|Skeleton Army|Minion Horde|,8.875,6.125
